Complexity|MSE|Equation
1|22.39554|x5
3|19.783245|(0.2563615 * x2)
4|19.734667|(sin(0.2563615) * x2)
5|19.393219|((0.2563615 * x2) - x8)
6|18.673656|(exp(x1) + (x5 * -0.8991485))
7|16.124783|(exp(x1) + (cos(x3) * x5))
11|13.065098|((-0.79649556 + ((1.999149 * cos(x3)) * x5)) + exp(x1))
13|12.616802|pow(x2 / (x4 / (sin(cos(x3) + 0.08396251) / x7)), 1.3697473)
15|12.415914|(pow(x2 / (x4 / (sin(cos(x3) + 0.13999802) / x7)), 1.3689816) - -2.590266)
17|12.415826|(pow((x2 + 0.7215326) / (x4 / (sin(cos(x3) + 0.13878033) / x7)), 1.3689816) - -2.590266)
20|12.276736|(pow((x2 + cos(x0 / 1.6000987)) / (x4 / (sin(cos(x3) + 0.13889575) / x7)), 1.3689816) - -2.590266)
